stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,lat_swiss,long_swiss
1101064,"Malpensa Aeroporto, terminal 1",45.6272144319203,8.7111160249179,NA,NA,NA,53633.08059331701,699251.1282730129
8014422,Efringen-Kirchen,47.6556181269164,7.56391350802053,NA,NA,NA,278338.0767182168,609412.9477137547
8014423,Eimeldingen,47.6279459958422,7.59560607124868,NA,NA,NA,275265.4047066238,611800.0390170972
8014424,Haltingen,47.6128387709584,7.61167693168381,NA,NA,NA,273588.13923647546,613011.7117041053
8014428,Weil am Rhein,47.5939652604671,7.60841604720201,NA,NA,NA,271489.048581117,612771.0506160203
8014429,Weil am Rhein-Ost,47.5906332213504,7.63478160079458,NA,NA,NA,271123.1616124941,614755.0426519227
8014439,Riehen,47.5831565652384,7.65201128794639,NA,NA,NA,270295.20197592326,616053.2957582772
8014440,Lörrach-Stetten,47.6014161438405,7.65903611346919,NA,NA,NA,272326.93975205283,616576.0903343814
8014441,Lörrach Hbf,47.6140499318918,7.66542313514017,NA,NA,NA,273733.0621539985,617052.3735223779
8014443,Lörrach Haagen/Messe,47.6332309798553,7.68089212433486,NA,NA,NA,275869.29043159675,618208.8604671971
8014444,Lörrach Brombach/Hauingen,47.6376135394349,7.69520228681287,NA,NA,NA,276360.00217168033,619282.8038515687
8014445,Steinen (D),47.6416023176234,7.74156433863273,NA,NA,NA,276815.9079184485,622765.3096368931
8014446,Maulburg,47.6443743088324,7.78065901980306,NA,NA,NA,277136.17516264034,625701.7959992383
8014447,Schopfheim,47.6479631531721,7.82267322564718,NA,NA,NA,277549.8005447034,628856.8931916577
8014448,Fahrnau,47.6615597914233,7.83942680569834,NA,NA,NA,279067.916888743,630108.0019504454
8014449,Hausen-Raitbach,47.6793081499928,7.84603840619038,NA,NA,NA,281043.9503796917,630594.4239589083
8014450,Zell (Wiesental),47.7056231609963,7.84915556022671,NA,NA,NA,283971.2191371128,630813.2198379644
8014474,Waldshut,47.6213708024252,8.2195219687679,NA,NA,NA,274814.19818748115,658703.8805121805
8014481,Erzingen (Baden),47.6595450257657,8.43012300400619,NA,NA,NA,279237.2627405372,674481.3383256717
8014482,Wilchingen-Hallau,47.6794533059519,8.46385474292958,NA,NA,NA,281483.3009977612,676986.2011490369
8014483,Neunkirch,47.6891536471225,8.49538560940656,NA,NA,NA,282593.2280995521,679339.2306362366
8014484,Beringen Bad Bf,47.6948980110959,8.57461701747693,NA,NA,NA,283314.997502879,685278.0639579318
8014485,Neuhausen Bad Bf,47.6826163959381,8.61218456266404,NA,NA,NA,281990.9965002438,688118.4220861107
8014487,Herblingen,47.7170048831462,8.66412515239906,NA,NA,NA,285873.96827881027,691958.4238251892
8014488,Trasadingen,47.6652442518166,8.43680646972098,NA,NA,NA,279877.29083171923,674975.3131322216
8014554,Engen,47.8563453098322,8.77277638602844,NA,NA,NA,301499.21433821996,699847.1710122334
8014555,Welschingen-Neuhausen,47.8340322837636,8.76921007434999,NA,NA,NA,299013.78868642,699622.3572998815
8014556,Mühlhausen (b Engen),47.8136582195512,8.80438810088101,NA,NA,NA,296793.7673179292,702295.3097046007
8014558,Singen (Hohentwiel),47.7584367925026,8.84038359432069,NA,NA,NA,290701.72063927905,705100.7195130995
8014570,Böhringen-Rickelshausen,47.7487312230909,8.92664881106669,NA,NA,NA,289741.77740589913,711588.3513936402
8014571,Radolfzell,47.7358702167294,8.9689774272603,NA,NA,NA,288372.99714787595,714790.0799961569
8014580,Markelfingen,47.7393681934164,9.00278103140642,NA,NA,NA,288811.8823321998,717317.5496386451
8014581,Allensbach,47.7144603803507,9.06886110371545,NA,NA,NA,286143.7149704787,722330.5980573817
8014582,Hegne,47.7060402727567,9.09956552013093,NA,NA,NA,285255.9698111141,724654.0716748534
8014583,Reichenau (Baden),47.689341104776,9.12595802318204,NA,NA,NA,283441.80161311297,726674.4428245838
8014584,Konstanz-Petershausen,47.674094364051,9.17346991856573,NA,NA,NA,281824.6569556784,730278.2195272021
8014586,Konstanz,47.6587524089564,9.17730572482946,NA,NA,NA,280125.5267328911,730604.0152700898
8034614,Singen (Htw) Industriegebiet,47.7594452948256,8.87213005646589,NA,NA,NA,290856.84667254484,707478.6705343988
8039347,Konstanz Wollmatingen,47.6824531053563,9.14732894379422,NA,NA,NA,282710.79900759127,728295.2513176436
8060978,Weil am Rhein Gartenstadt,47.5868283790853,7.63669501235002,NA,NA,NA,270700.4614444626,614900.0309884673
8060979,Weil am Rhein Pfädlistrasse,47.5868102024234,7.6460015586948,NA,NA,NA,270700.2416036586,615600.1165733276
8063365,Singen (Htw)-Landesgartenschau,47.7607375985681,8.82704361234966,NA,NA,NA,290939.74315564503,704096.1041482905
8069220,Lörrach Dammstrasse,47.5957462998186,7.67528663696117,NA,NA,NA,271700.0552819226,617800.0851480179
8069221,Lörrach Museum/Burghof,47.6047293259252,7.68064957920811,NA,NA,NA,272700.10624271084,618200.3715071458
8080251,Konstanz-Fürstenberg,47.6774755212736,9.16284284875312,NA,NA,NA,282182.93820302136,729472.0533870107
8083840,Schopfheim-West,47.6455423746135,7.80171553006575,NA,NA,NA,277273.1482428881,627283.4330468248
8083846,Lörrach Schwarzwaldstrasse,47.620892464188,7.69268700401699,NA,NA,NA,274500.14917536615,619099.7741794644
8087021,Riehen Niederholz,47.5694728524244,7.63344311102106,NA,NA,NA,268770.09905147366,614660.1780411273
8098610,München ZOB (Hackerbrücke),48.1423646304029,11.5498552052006,NA,NA,NA,340477.0846630493,905885.1501481312
